query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
chickadee,chickadee,01592084-n,01592084-n,True,1,True,True,True,0.0207,0.0654
water ouzel,European water ouzel,01601694-n,01602080-n,False,3,False,True,True,0.0204,0.0631
dipper,dipper,01601694-n,03204306-n,False,-1,False,False,False,0.0224,0.0831
kite,kite,01608432-n,13382306-n,False,3,False,True,True,0.0241,0.0904
bald eagle,bald eagle,01614925-n,01614925-n,True,1,True,True,True,0.0427,0.066
American eagle,eagle,01614925-n,01613294-n,False,-1,False,False,False,0.0213,0.0139
Haliaeetus leucocephalus,Haliaeetus,01614925-n,01614769-n,False,-1,False,False,False,0.0208,0.0639
vulture,vulture,01616318-n,01616318-n,True,1,True,True,True,0.0199,0.0685
great grey owl,great grey owl,01622779-n,01622779-n,True,1,True,True,True,0.0201,0.0671
great gray owl,great grey owl,01622779-n,01622779-n,True,1,True,True,True,0.0211,0.0108
Strix nebulosa,Strix,01622779-n,01622596-n,False,-1,False,False,False,0.0216,0.0657
European fire salamander,European fire salamander,01629819-n,01629819-n,True,1,True,True,True,0.0214,0.0683
Salamandra salamandra,Salamandra,01629819-n,01629093-n,False,-1,False,False,False,0.0203,0.0392
common newt,common newt,01630670-n,01630670-n,True,1,True,True,True,0.021,0.0662
Triturus vulgaris,Triticum,01630670-n,12141890-n,False,-1,False,False,False,0.022,0.0614
eft,eft,01631663-n,01631663-n,True,1,True,True,True,0.0202,0.0607
spotted salamander,spotted salamander,01632458-n,01632458-n,True,1,True,True,True,0.0284,0.0299
Ambystoma maculatum,Ambystoma,01632458-n,01631903-n,False,-1,False,False,False,0.0204,0.0911
axolotl,axolotl,01632777-n,01632777-n,True,1,True,True,True,0.044,0.0825
mud puppy,mud puppy,01632777-n,01634522-n,False,-1,False,False,False,0.0328,0.0615
Ambystoma mexicanum,Ambystoma,01632777-n,01631903-n,False,-1,False,False,False,0.0208,0.0501
bullfrog,bullfrog,01641577-n,01641577-n,True,1,True,True,True,0.0227,0.0668
Rana catesbeiana,Rana,01641577-n,01640567-n,False,-1,False,False,False,0.0217,0.0639
tree frog,tree frog,01644373-n,01644373-n,True,1,True,True,True,0.0212,0.0682
tree-frog,tree frog,01644373-n,01644373-n,True,1,True,True,True,0.0218,0.0136
tailed frog,tailed frog,01644900-n,01644900-n,True,1,True,True,True,0.0217,0.0596
bell toad,fire-bellied toad,01644900-n,01648620-n,False,-1,False,False,False,0.0212,0.0453
ribbed toad,Surinam toad,01644900-n,01654083-n,False,-1,False,False,False,0.0212,0.0513
tailed toad,true toad,01644900-n,01645776-n,False,2,False,True,True,0.0212,0.0114
Ascaphus trui,Ascaphus,01644900-n,01644699-n,False,-1,False,False,False,0.022,0.0706
loggerhead,loggerhead,01664065-n,01664065-n,True,1,True,True,True,0.0202,0.0617
loggerhead turtle,loggerhead,01664065-n,01664065-n,True,1,True,True,True,0.0205,0.0237
Caretta caretta,Caretta,01664065-n,01663939-n,False,-1,False,False,False,0.0213,0.0505
leatherback turtle,leatherback turtle,01665541-n,01665541-n,True,1,True,True,True,0.0221,0.0548
leatherback,leather,01665541-n,14759722-n,False,3,False,True,True,0.0205,0.0497
leathery turtle,leatherback turtle,01665541-n,01665541-n,True,1,True,True,True,0.0212,0.0309
Dermochelys coriacea,Dermochelys,01665541-n,01665372-n,False,-1,False,False,False,0.0211,0.0678
mud turtle,mud turtle,01667114-n,01667114-n,True,1,True,True,True,0.0202,0.0281
terrapin,terrapin,01667778-n,01667778-n,True,1,True,True,True,0.0207,0.0563
box turtle,box turtle,01669191-n,01669191-n,True,1,True,True,True,0.0208,0.0382
box tortoise,desert tortoise,01669191-n,01671479-n,False,2,False,True,True,0.021,0.0328
banded gecko,banded gecko,01675722-n,01675722-n,True,1,True,True,True,0.0218,0.0691
common iguana,common iguana,01677366-n,01677366-n,True,1,True,True,True,0.0207,0.0706
iguana,iguanid,01677366-n,01676755-n,False,2,False,True,True,0.021,0.0008
Iguana iguana,iguanid,01677366-n,01676755-n,False,2,False,True,True,0.0211,0.0005
American chameleon,American chameleon,01682714-n,01682714-n,True,1,True,True,True,0.0207,0.0922
anole,atole,01682714-n,07703515-n,False,-1,False,False,False,0.0413,0.062
Anolis carolinensis,Anolis,01682714-n,01682588-n,False,-1,False,False,False,0.0197,0.0506
whiptail,whiptail,01685808-n,01685808-n,True,1,True,True,True,0.0213,0.0649
whiptail lizard,whiptail,01685808-n,01685808-n,True,1,True,True,True,0.02,0.057
agama,agama,01687978-n,01687978-n,True,1,True,True,True,0.0201,0.0678
frilled lizard,frilled lizard,01688243-n,01688243-n,True,1,True,True,True,0.0208,0.0619
Chlamydosaurus kingi,Chlamydosaurus,01688243-n,01688106-n,False,-1,False,False,False,0.0218,0.051
alligator lizard,alligator lizard,01689811-n,01689811-n,True,1,True,True,True,0.0208,0.0543
Gila monster,Gila monster,01692333-n,01692333-n,True,1,True,True,True,0.02,0.0625
Heloderma suspectum,Heloderma,01692333-n,01692143-n,False,-1,False,False,False,0.0201,0.0771
green lizard,green lizard,01693334-n,01693334-n,True,1,True,True,True,0.0254,0.0006
Lacerta viridis,Lacerta,01693334-n,01693020-n,False,-1,False,False,False,0.0467,0.0628
African chameleon,African chameleon,01694178-n,01694178-n,True,1,True,True,True,0.0218,0.0005
Chamaeleo chamaeleon,Chamaeleo,01694178-n,01693995-n,False,-1,False,False,False,0.0219,0.0685
Komodo dragon,Komodo dragon,01695060-n,01695060-n,True,1,True,True,True,0.0219,0.0726
Komodo lizard,Komodo dragon,01695060-n,01695060-n,True,1,True,True,True,0.0253,0.0357
dragon lizard,dragon,01695060-n,01688589-n,False,4,False,False,True,0.0353,0.0005
giant lizard,Komodo dragon,01695060-n,01695060-n,True,1,True,True,True,0.0313,0.0593
Varanus komodoensis,Varanus,01695060-n,01694558-n,False,-1,False,False,False,0.0243,0.0709
African crocodile,African crocodile,01697457-n,01697457-n,True,1,True,True,True,0.0226,0.0614
Nile crocodile,African crocodile,01697457-n,01697457-n,True,1,True,True,True,0.0223,0.0146
Crocodylus niloticus,Crocodylus,01697457-n,01697002-n,False,-1,False,False,False,0.0221,0.0489
American alligator,American alligator,01698640-n,01698640-n,True,1,True,True,True,0.0214,0.0378
Alligator mississipiensis,Alligatoridae,01698640-n,01698144-n,False,4,False,False,True,0.0228,0.012
triceratops,triceratops,01704323-n,01704323-n,True,1,True,True,True,0.0225,0.0683
thunder snake,thunder snake,01728572-n,01728572-n,True,1,True,True,True,0.0207,0.0481
worm snake,worm,01728572-n,10792028-n,False,-1,False,False,False,0.0203,0.0628
Carphophis amoenus,Carphophis,01728572-n,01728445-n,False,-1,False,False,False,0.0232,0.027
ringneck snake,ringneck snake,01728920-n,01728920-n,True,1,True,True,True,0.0205,0.0298
ring-necked snake,ringneck snake,01728920-n,01728920-n,True,1,True,True,True,0.0207,0.0262
ring snake,ringneck snake,01728920-n,01728920-n,True,1,True,True,True,0.0224,0.0006
hognose snake,hognose snake,01729322-n,01729322-n,True,1,True,True,True,0.0236,0.0531
puff adder,puff adder,01729322-n,01753032-n,False,-1,False,False,False,0.021,0.0671
sand viper,viper,01729322-n,01752165-n,False,-1,False,False,False,0.0205,0.0627
green snake,green snake,01729977-n,01729977-n,True,1,True,True,True,0.0199,0.0638
grass snake,grass snake,01729977-n,01737875-n,False,-1,False,False,False,0.0203,0.0279
king snake,king snake,01734418-n,01734418-n,True,1,True,True,True,0.0213,0.0281
kingsnake,king,01734418-n,10235024-n,False,-1,False,False,False,0.0203,0.0651
garter snake,garter snake,01735189-n,01735189-n,True,1,True,True,True,0.0196,0.0651
grass snake,grass snake,01735189-n,01737875-n,False,-1,False,False,False,0.0131,0.0005
water snake,water snake,01737021-n,01737021-n,True,1,True,True,True,0.0196,0.0739
vine snake,vine snake,01739381-n,01739381-n,True,1,True,True,True,0.0207,0.0393
night snake,night snake,01740131-n,01740131-n,True,1,True,True,True,0.0203,0.0368
Hypsiglena torquata,Hypsiglena,01740131-n,01740005-n,False,-1,False,False,False,0.0214,0.049
boa constrictor,boa constrictor,01742172-n,01742172-n,True,1,True,True,True,0.0227,0.0698
Constrictor constrictor,constrictor,01742172-n,01741562-n,False,-1,False,False,False,0.0223,0.0492
rock python,rock python,01744401-n,01744401-n,True,1,True,True,True,0.0212,0.0609
rock snake,rock python,01744401-n,01744401-n,True,1,True,True,True,0.0216,0.0008
Python sebae,Sebastopol,01744401-n,09017168-n,False,-1,False,False,False,0.021,0.0611
Indian cobra,Indian cobra,01748264-n,01748264-n,True,1,True,True,True,0.0202,0.0638
Naja naja,Naja,01748264-n,01747739-n,False,-1,False,False,False,0.0223,0.0541
green mamba,green mamba,01749939-n,01749939-n,True,1,True,True,True,0.0221,0.0522
sea snake,sea snake,01751748-n,01751748-n,True,1,True,True,True,0.0202,0.0226
horned viper,horned viper,01753488-n,01753488-n,True,1,True,True,True,0.0212,0.0406
cerastes,ceras,01753488-n,01954004-n,False,-1,False,False,False,0.0229,0.0509
sand viper,viper,01753488-n,01752165-n,False,-1,False,False,False,0.0117,0.0005
horned asp,horned chameleon,01753488-n,01694311-n,False,-1,False,False,False,0.0221,0.04
Cerastes cornutus,Cepheus,01753488-n,09497641-n,False,-1,False,False,False,0.0206,0.0496
diamondback,diamondback,01755581-n,01755581-n,True,1,True,True,True,0.0212,0.0516
diamondback rattlesnake,diamondback,01755581-n,01755581-n,True,1,True,True,True,0.0214,0.0437
Crotalus adamanteus,Crotalus,01755581-n,01755274-n,False,-1,False,False,False,0.0209,0.0602
sidewinder,sidewinder,01756291-n,04215910-n,False,2,False,True,True,0.022,0.067
horned rattlesnake,rattlesnake,01756291-n,01754876-n,False,-1,False,False,False,0.0231,0.0528
Crotalus cerastes,crotalaria,01756291-n,12519563-n,False,-1,False,False,False,0.0427,0.0422
trilobite,trilobite,01768244-n,01768244-n,True,1,True,True,True,0.0431,0.0684
harvestman,harvester,01770081-n,10161363-n,False,2,False,True,True,0.0227,0.0608
daddy longlegs,longwool,01770081-n,02414209-n,False,-1,False,False,False,0.0208,0.0612
Phalangium opilio,Phalangida,01770081-n,01769635-n,False,-1,False,False,False,0.0209,0.0643
scorpion,Scorpionida,01770393-n,01770263-n,False,2,False,True,True,0.021,0.0717
black and gold garden spider,black and gold garden spider,01773157-n,01773157-n,True,1,True,True,True,0.0213,0.0787
Argiope aurantia,Argiope,01773157-n,01772985-n,False,-1,False,False,False,0.0218,0.0655
barn spider,barn spider,01773549-n,01773549-n,True,1,True,True,True,0.0202,0.0613
Araneus cavaticus,Araneae,01773549-n,01771966-n,False,-1,False,False,False,0.021,0.048
garden spider,garden spider,01773797-n,01773797-n,True,1,True,True,True,0.0204,0.0151
Aranea diademata,Aranea,01773797-n,01773319-n,False,-1,False,False,False,0.0212,0.0128
black widow,black widow,01774384-n,01774384-n,True,1,True,True,True,0.0208,0.0485
Latrodectus mactans,Latrodectus,01774384-n,01774252-n,False,-1,False,False,False,0.0222,0.0733
tarantula,tarantula,01774750-n,01774750-n,True,1,True,True,True,0.0205,0.0789
wolf spider,wolf spider,01775062-n,01775062-n,True,1,True,True,True,0.0216,0.0439
hunting spider,wolf spider,01775062-n,01775062-n,True,1,True,True,True,0.0217,0.0349
tick,tick,01776313-n,04432308-n,False,-1,False,False,False,0.0329,0.0608
centipede,centipede,01784675-n,01784675-n,True,1,True,True,True,0.0217,0.0789
black grouse,black grouse,01795545-n,01795545-n,True,1,True,True,True,0.0199,0.0632
ptarmigan,ptarmigan,01796340-n,01796340-n,True,1,True,True,True,0.0195,0.0627
ruffed grouse,ruffed grouse,01797886-n,01797886-n,True,1,True,True,True,0.0198,0.0373
partridge,partridge,01797886-n,07647496-n,False,-1,False,False,False,0.0213,0.0596
Bonasa umbellus,Umbellularia,01797886-n,11707668-n,False,-1,False,False,False,0.02,0.0577
prairie chicken,prairie chicken,01798484-n,01798484-n,True,1,True,True,True,0.0201,0.0603
prairie grouse,prairie chicken,01798484-n,01798484-n,True,1,True,True,True,0.0213,0.0276
prairie fowl,game fowl,01798484-n,01790711-n,False,3,False,True,True,0.0214,0.0519
peacock,peacock,01806143-n,01806143-n,True,1,True,True,True,0.0197,0.0685
quail,quail,01806567-n,07647321-n,False,2,False,True,True,0.0224,0.0691
partridge,partridge,01807496-n,07647496-n,False,2,False,True,True,0.0116,0.0005
African grey,African grey,01817953-n,01817953-n,True,1,True,True,True,0.0211,0.059
African gray,African grey,01817953-n,01817953-n,True,1,True,True,True,0.0203,0.0109
Psittacus erithacus,Psittacus,01817953-n,01817772-n,False,-1,False,False,False,0.0215,0.0631
macaw,macaw,01818515-n,01818515-n,True,1,True,True,True,0.0256,0.0927
sulphur-crested cockatoo,sulphur-crested cockatoo,01819313-n,01819313-n,True,1,True,True,True,0.0427,0.0692
Kakatoe galerita,Kakatoe,01819313-n,01818959-n,False,-1,False,False,False,0.0217,0.0559
Cacatua galerita,caesura,01819313-n,15271732-n,False,-1,False,False,False,0.0209,0.0609
lorikeet,lorikeet,01820546-n,01820546-n,True,1,True,True,True,0.0209,0.0609
coucal,coucal,01824575-n,01824575-n,True,1,True,True,True,0.021,0.0688
bee eater,bee eater,01828970-n,01828970-n,True,1,True,True,True,0.0204,0.0674
hornbill,hornbill,01829413-n,01829413-n,True,1,True,True,True,0.0207,0.0766
hummingbird,hummingbird,01833805-n,01833805-n,True,1,True,True,True,0.0208,0.0557
jacamar,jacamar,01843065-n,01843065-n,True,1,True,True,True,0.0208,0.0623
toucan,toucan,01843383-n,01843383-n,True,1,True,True,True,0.021,0.0649
drake,drake,01847000-n,01847000-n,True,1,True,True,True,0.0205,0.0616
red-breasted merganser,red-breasted merganser,01855032-n,01855032-n,True,1,True,True,True,0.0219,0.0683
Mergus serrator,serratus posterior superior,01855032-n,05551142-n,False,-1,False,False,False,0.0203,0.0427
goose,goose,01855672-n,07646821-n,False,2,False,True,True,0.0205,0.0599
black swan,black swan,01860187-n,01860187-n,True,1,True,True,True,0.0207,0.0624
Cygnus atratus,Cygnus,01860187-n,01858989-n,False,-1,False,False,False,0.022,0.0643
tusker,tusker,01871265-n,01871265-n,True,1,True,True,True,0.021,0.0962
echidna,echidna,01872401-n,01872772-n,False,2,False,True,True,0.0231,0.0686
spiny anteater,anteater,01872401-n,02460009-n,False,-1,False,False,False,0.0229,0.0753
anteater,anteater,01872401-n,02460009-n,False,-1,False,False,False,0.0264,0.0357
platypus,platypus,01873310-n,01873310-n,True,1,True,True,True,0.0417,0.071
duckbill,duck,01873310-n,03253071-n,False,-1,False,False,False,0.0212,0.067
duckbilled platypus,platypus,01873310-n,01873310-n,True,1,True,True,True,0.0203,0.0005
duck-billed platypus,platypus,01873310-n,01873310-n,True,1,True,True,True,0.0213,0.0007
Ornithorhynchus anatinus,Ornithorhynchus,01873310-n,01873144-n,False,-1,False,False,False,0.023,0.0546
wallaby,wallaby,01877812-n,01877812-n,True,1,True,True,True,0.0234,0.0728
brush kangaroo,kangaroo,01877812-n,01877134-n,False,-1,False,False,False,0.0219,0.0702
koala,koala,01882714-n,01882714-n,True,1,True,True,True,0.0219,0.0406
koala bear,koala,01882714-n,01882714-n,True,1,True,True,True,0.026,0.0531
kangaroo bear,kangaroo,01882714-n,01877134-n,False,-1,False,False,False,0.0433,0.025
native bear,bear,01882714-n,02131653-n,False,-1,False,False,False,0.0204,0.035
Phascolarctos cinereus,Phascolarctos,01882714-n,01882607-n,False,-1,False,False,False,0.0221,0.0362
wombat,wombat,01883070-n,01883070-n,True,1,True,True,True,0.0203,0.0534
jellyfish,jellyfish,01910747-n,01910747-n,True,1,True,True,True,0.0215,0.0705
sea anemone,anemone fish,01914609-n,02607072-n,False,2,False,True,True,0.0224,0.061
anemone,anemone,01914609-n,11725015-n,False,-1,False,False,False,0.0212,0.0332
brain coral,brain coral,01917289-n,01917289-n,True,1,True,True,True,0.0217,0.065
flatworm,flatworm,01924916-n,01924916-n,True,1,True,True,True,0.0235,0.0698
platyhelminth,Platyhelminthes,01924916-n,01924590-n,False,-1,False,False,False,0.022,0.0005
nematode,nematode,01930112-n,01930112-n,True,1,True,True,True,0.0299,0.0805
nematode worm,nematode,01930112-n,01930112-n,True,1,True,True,True,0.0219,0.0137
roundworm,common roundworm,01930112-n,01930852-n,False,-1,False,False,False,0.0216,0.0524
conch,conch,01943899-n,01943899-n,True,1,True,True,True,0.0209,0.0667
snail,snail,01944390-n,01944390-n,True,1,True,True,True,0.0202,0.0596
slug,slug,01945685-n,13390788-n,False,3,False,True,True,0.0213,0.0735
sea slug,sea slug,01950731-n,01950731-n,True,1,True,True,True,0.0232,0.0395
nudibranch,Nudibranchia,01950731-n,01950457-n,False,-1,False,False,False,0.0207,0.0679
chiton,chiton,01955084-n,03021121-n,False,3,False,True,True,0.0223,0.0627
coat-of-mail shell,mail,01955084-n,08463063-n,False,-1,False,False,False,0.023,0.063
sea cradle,cradle,01955084-n,03125729-n,False,-1,False,False,False,0.0215,0.0586
polyplacophore,Polyplacophora,01955084-n,01954729-n,False,-1,False,False,False,0.0221,0.0654
chambered nautilus,chambered nautilus,01968897-n,01968897-n,True,1,True,True,True,0.0216,0.063
pearly nautilus,nautilus,01968897-n,03811295-n,False,2,False,True,True,0.0219,0.0225
nautilus,nautilus,01968897-n,03811295-n,False,4,False,False,True,0.0213,0.0253
Dungeness crab,Dungeness crab,01978287-n,01978287-n,True,1,True,True,True,0.0208,0.0633
Cancer magister,cancer,01978287-n,14239918-n,False,-1,False,False,False,0.0216,0.0526
rock crab,rock crab,01978455-n,01978455-n,True,1,True,True,True,0.0208,0.0411
Cancer irroratus,rhabdomyosarcoma,01978455-n,14245405-n,False,-1,False,False,False,0.0225,0.0533
fiddler crab,fiddler crab,01980166-n,01980166-n,True,1,True,True,True,0.0217,0.0435
king crab,king crab,01981276-n,01981276-n,True,1,True,True,True,0.02,0.0417
Alaska crab,king crab,01981276-n,01981276-n,True,1,True,True,True,0.0297,0.016
Alaskan king crab,king crab,01981276-n,01981276-n,True,1,True,True,True,0.0221,0.0121
Alaska king crab,king crab,01981276-n,01981276-n,True,1,True,True,True,0.0221,0.0008
Paralithodes camtschatica,Paralithodes,01981276-n,01981137-n,False,-1,False,False,False,0.0334,0.06
American lobster,American lobster,01983481-n,01983481-n,True,1,True,True,True,0.0467,0.0869
Northern lobster,lobster,01983481-n,01982650-n,False,3,False,True,True,0.0464,0.0169
Maine lobster,American lobster,01983481-n,01983481-n,True,1,True,True,True,0.0365,0.0165
Homarus americanus,Holcus,01983481-n,12122581-n,False,-1,False,False,False,0.0478,0.0815
spiny lobster,spiny lobster,01984695-n,01984695-n,True,1,True,True,True,0.0459,0.0864
langouste,languor,01984695-n,07516222-n,False,-1,False,False,False,0.044,0.0577
rock lobster,lobster,01984695-n,01982650-n,False,-1,False,False,False,0.0364,0.0296
crawfish,crayfish,01984695-n,07788885-n,False,-1,False,False,False,0.0225,0.0466
crayfish,crayfish,01984695-n,01985128-n,False,-1,False,False,False,0.0206,0.0398
sea crawfish,crayfish,01984695-n,01985128-n,False,-1,False,False,False,0.0205,0.0006
crayfish,crayfish,01985128-n,01985128-n,True,1,True,True,True,0.0101,0.0004
crawfish,crayfish,01985128-n,07788885-n,False,2,False,True,True,0.009,0.0005
crawdad,craw,01985128-n,01974055-n,False,-1,False,False,False,0.0254,0.0237
crawdaddy,craw,01985128-n,01974055-n,False,-1,False,False,False,0.0217,0.012
hermit crab,hermit crab,01986214-n,01986214-n,True,1,True,True,True,0.0212,0.0293
isopod,isopod,01990800-n,01990800-n,True,1,True,True,True,0.0208,0.0666
white stork,white stork,02002556-n,02002556-n,True,1,True,True,True,0.0213,0.0696
Ciconia ciconia,Ciconia,02002556-n,02002384-n,False,-1,False,False,False,0.0205,0.0736
black stork,black stork,02002724-n,02002724-n,True,1,True,True,True,0.0211,0.0239
Ciconia nigra,citrange,02002724-n,07750299-n,False,-1,False,False,False,0.0211,0.0458
spoonbill,spoonbill,02006656-n,02006656-n,True,1,True,True,True,0.021,0.062
flamingo,flamingo,02007558-n,02007558-n,True,1,True,True,True,0.0277,0.0887
little blue heron,little blue heron,02009229-n,02009229-n,True,1,True,True,True,0.0429,0.0688
Egretta caerulea,Egretta,02009229-n,02009015-n,False,-1,False,False,False,0.0212,0.05
American egret,American egret,02009912-n,02009912-n,True,1,True,True,True,0.024,0.09
great white heron,great blue heron,02009912-n,02008497-n,False,-1,False,False,False,0.0457,0.0158
Egretta albus,Egretta,02009912-n,02009015-n,False,2,False,True,True,0.0456,0.0582
bittern,bittern,02011460-n,02011460-n,True,1,True,True,True,0.0426,0.0656
crane,Crane,02012849-n,10914447-n,False,4,False,False,True,0.0346,0.0726
limpkin,limpkin,02013706-n,02013706-n,True,1,True,True,True,0.0441,0.0562
Aramus pictus,Aramus,02013706-n,02013362-n,False,-1,False,False,False,0.0199,0.0595
European gallinule,European gallinule,02017213-n,02017213-n,True,1,True,True,True,0.0207,0.0671
Porphyrio porphyrio,Porphyrio,02017213-n,02017093-n,False,-1,False,False,False,0.022,0.072
American coot,American coot,02018207-n,02018207-n,True,1,True,True,True,0.0226,0.0654
marsh hen,Marsh,02018207-n,11158533-n,False,-1,False,False,False,0.0204,0.0656
mud hen,mud,02018207-n,14956325-n,False,-1,False,False,False,0.0206,0.0246
water hen,hen,02018207-n,01321123-n,False,-1,False,False,False,0.0221,0.0143
Fulica americana,Fulica,02018207-n,02017878-n,False,-1,False,False,False,0.0215,0.0639
bustard,bustard,02018795-n,02018795-n,True,1,True,True,True,0.0201,0.0662
ruddy turnstone,ruddy turnstone,02025239-n,02025239-n,True,1,True,True,True,0.022,0.0634
Arenaria interpres,Arenaria,02025239-n,02024923-n,False,-1,False,False,False,0.0207,0.0613
red-backed sandpiper,red-backed sandpiper,02027492-n,02027492-n,True,1,True,True,True,0.0213,0.0766
dunlin,dunk,02027492-n,00110554-n,False,-1,False,False,False,0.02,0.0706
Erolia alpina,Erolia,02027492-n,02027209-n,False,-1,False,False,False,0.0208,0.0633
redshank,redshank,02028035-n,02028035-n,True,1,True,True,True,0.0208,0.0602
Tringa totanus,Tringa,02028035-n,02027730-n,False,-1,False,False,False,0.0212,0.0526
dowitcher,dowitcher,02033041-n,02033041-n,True,1,True,True,True,0.02,0.0622
oystercatcher,oystercatcher,02037110-n,02037110-n,True,1,True,True,True,0.0201,0.0649
oyster catcher,oyster,02037110-n,07649342-n,False,3,False,True,True,0.02,0.0281
pelican,pelican,02051845-n,02051845-n,True,1,True,True,True,0.0199,0.0564
king penguin,king penguin,02056570-n,02056570-n,True,1,True,True,True,0.0216,0.0677
Aptenodytes patagonica,Aptenodytes,02056570-n,02056421-n,False,-1,False,False,False,0.0203,0.0626
albatross,albatross,02058221-n,02058221-n,True,1,True,True,True,0.0204,0.0665
mollymawk,mollycoddle,02058221-n,10327583-n,False,-1,False,False,False,0.0199,0.0647
grey whale,grey whale,02066245-n,02066245-n,True,1,True,True,True,0.0197,0.0762
gray whale,grey whale,02066245-n,02066245-n,True,1,True,True,True,0.0251,0.0005
devilfish,scorpionfish,02066245-n,02643112-n,False,-1,False,False,False,0.0318,0.0732
Eschrichtius gibbosus,Eschrichtius,02066245-n,02066086-n,False,-1,False,False,False,0.0232,0.0669
Eschrichtius robustus,Eschrichtius,02066245-n,02066086-n,False,-1,False,False,False,0.0219,0.0493
killer whale,killer whale,02071294-n,02071294-n,True,1,True,True,True,0.0213,0.0433
killer,killer,02071294-n,10231087-n,False,-1,False,False,False,0.0234,0.0656
orca,theca,02071294-n,13092722-n,False,-1,False,False,False,0.0219,0.0473
grampus,genus Grampus,02071294-n,02070923-n,False,-1,False,False,False,0.0209,0.0625
sea wolf,wolf,02071294-n,02114100-n,False,-1,False,False,False,0.0215,0.0628
Orcinus orca,Orcinus,02071294-n,02071173-n,False,-1,False,False,False,0.0211,0.0239
dugong,genus Dugong,02074367-n,02074214-n,False,2,False,True,True,0.0225,0.0729
Dugong dugon,genus Dugong,02074367-n,02074214-n,False,3,False,True,True,0.022,0.0235
sea lion,sea lion,02077923-n,02077923-n,True,1,True,True,True,0.021,0.0723
