query,closest_label,target_id,result_id,correct,time_sec
ribbed toad,true toad,01644900-n,01645776-n,False,2.2
tailed toad,true toad,01644900-n,01645776-n,False,2.2
Ascaphus trui,Ascaphus,01644900-n,01644699-n,False,2.22
loggerhead,at loggerheads,01664065-n,01245441-s,False,2.31
loggerhead turtle,loggerhead,01664065-n,01664065-n,True,2.42
Caretta caretta,Caretta,01664065-n,01663939-n,False,2.37
leatherback turtle,leatherback turtle,01665541-n,01665541-n,True,2.23
leatherback,leatherette,01665541-n,03653110-n,False,2.3
leathery turtle,leatherback turtle,01665541-n,01665541-n,True,2.68
Dermochelys coriacea,Dermochelys,01665541-n,01665372-n,False,2.36
mud turtle,mud turtle,01667114-n,01667114-n,True,2.2
terrapin,terrapin,01667778-n,01667778-n,True,2.2
box turtle,box turtle,01669191-n,01669191-n,True,2.21
box tortoise,Terrapene,01669191-n,01669068-n,False,2.23
banded gecko,banded gecko,01675722-n,01675722-n,True,2.34
common iguana,common iguana,01677366-n,01677366-n,True,2.26
iguana,common iguana,01677366-n,01677366-n,True,2.27
Iguana iguana,genus Iguana,01677366-n,01677242-n,False,2.21
American chameleon,American chameleon,01682714-n,01682714-n,True,2.25
anole,atole,01682714-n,07703515-n,False,2.2
Anolis carolinensis,Anolis,01682714-n,01682588-n,False,2.19
whiptail,whiptail,01685808-n,01685808-n,True,2.2
whiptail lizard,whiptail,01685808-n,01685808-n,True,2.2
agama,agama,01687978-n,01687978-n,True,2.25
frilled lizard,frilled lizard,01688243-n,01688243-n,True,2.17
Chlamydosaurus kingi,Chlamydosaurus,01688243-n,01688106-n,False,2.2
alligator lizard,alligator lizard,01689811-n,01689811-n,True,2.22
Gila monster,Gila monster,01692333-n,01692333-n,True,2.19
Heloderma suspectum,Heloderma,01692333-n,01692143-n,False,2.21
green lizard,green lizard,01693334-n,01693334-n,True,2.18
Lacerta viridis,Lacerta,01693334-n,01693020-n,False,2.2
African chameleon,African chameleon,01694178-n,01694178-n,True,2.2
Chamaeleo chamaeleon,Chamaeleo,01694178-n,01693995-n,False,2.22
Komodo dragon,Komodo dragon,01695060-n,01695060-n,True,2.22
Komodo lizard,Komodo dragon,01695060-n,01695060-n,True,2.2
dragon lizard,dragon,01695060-n,01688589-n,False,2.19
giant lizard,giant,01695060-n,01323781-n,False,2.2
Varanus komodoensis,Varanus,01695060-n,01694558-n,False,2.21
African crocodile,African crocodile,01697457-n,01697457-n,True,2.19
Nile crocodile,African crocodile,01697457-n,01697457-n,True,2.38
Crocodylus niloticus,Crocodylus,01697457-n,01697002-n,False,2.19
American alligator,American alligator,01698640-n,01698640-n,True,2.19
Alligator mississipiensis,Alligatoridae,01698640-n,01698144-n,False,2.2
triceratops,triceratops,01704323-n,01704323-n,True,2.19
thunder snake,thunder snake,01728572-n,01728572-n,True,2.22
worm snake,worm,01728572-n,10792028-n,False,2.42
Carphophis amoenus,Carphophis,01728572-n,01728445-n,False,2.48
ringneck snake,ringneck snake,01728920-n,01728920-n,True,2.7
ring-necked snake,ringneck snake,01728920-n,01728920-n,True,2.4
ring snake,ringneck snake,01728920-n,01728920-n,True,2.57
hognose snake,hognose snake,01729322-n,01729322-n,True,2.34
puff adder,puff adder,01729322-n,01753032-n,False,2.37
sand viper,viperine grass snake,01729322-n,01738065-n,False,2.28
green snake,green snake,01729977-n,01730563-n,False,2.31
grass snake,viperine grass snake,01729977-n,01738065-n,False,2.29
king snake,king snake,01734418-n,01734418-n,True,2.48
kingsnake,common kingsnake,01734418-n,01734637-n,False,2.29
garter snake,garter snake,01735189-n,01735189-n,True,2.34
grass snake,viperine grass snake,01735189-n,01738065-n,False,2.37
water snake,water snake,01737021-n,01737021-n,True,2.31
vine snake,vine snake,01739381-n,01739381-n,True,2.26
night snake,night snake,01740131-n,01740131-n,True,2.27
Hypsiglena torquata,Hypsiglena,01740131-n,01740005-n,False,2.27
boa constrictor,boa constrictor,01742172-n,01742172-n,True,2.26
Constrictor constrictor,constrictor,01742172-n,01741562-n,False,2.26
rock python,rock python,01744401-n,01744401-n,True,2.27
rock snake,snake,01744401-n,01888165-v,False,2.3
Python sebae,python,01744401-n,01743605-n,False,2.25
Indian cobra,Indian cobra,01748264-n,01748264-n,True,2.25
Naja naja,Naja,01748264-n,01747739-n,False,2.39
green mamba,green mamba,01749939-n,01749939-n,True,2.43
sea snake,sea serpent,01751748-n,09488006-n,False,2.33
horned viper,horned viper,01753488-n,01753488-n,True,2.3
cerastes,ceras,01753488-n,01954004-n,False,2.46
sand viper,viperine grass snake,01753488-n,01738065-n,False,2.47
horned asp,horned,01753488-n,02033868-a,False,2.31
Cerastes cornutus,Cepheus,01753488-n,09497641-n,False,2.63
diamondback,diamondback,01755581-n,01755581-n,True,2.3
diamondback rattlesnake,diamondback,01755581-n,01755581-n,True,2.53
Crotalus adamanteus,Crotalus,01755581-n,01755274-n,False,2.5
sidewinder,sidewinder,01756291-n,04215910-n,False,2.46
horned rattlesnake,rattlesnake,01756291-n,01754876-n,False,2.28
Crotalus cerastes,Crotalus,01756291-n,01755274-n,False,2.41
trilobite,trilobite,01768244-n,01768244-n,True,2.27
harvestman,harvestman,01770081-n,01770081-n,True,2.32
daddy longlegs,longwool,01770081-n,02414209-n,False,2.44
Phalangium opilio,Phalangium,01770081-n,01769930-n,False,2.62
scorpion,Scorpionida,01770393-n,01770263-n,False,2.45
black and gold garden spider,black and gold garden spider,01773157-n,01773157-n,True,2.36
Argiope aurantia,aura,01773157-n,04951716-n,False,2.26
barn spider,barn spider,01773549-n,01773549-n,True,2.29
Araneus cavaticus,Arales,01773549-n,11778391-n,False,2.43
garden spider,garden spider,01773797-n,01773797-n,True,2.61
Aranea diademata,Aranea,01773797-n,01773319-n,False,2.34
black widow,black widow,01774384-n,01774384-n,True,2.36
Latrodectus mactans,Latrodectus,01774384-n,01774252-n,False,2.43
tarantula,tarantula,01774750-n,01774750-n,True,2.44
wolf spider,wolf spider,01775062-n,01775062-n,True,2.41
hunting spider,spider,01775062-n,06579715-n,False,2.37
tick,tick,01776313-n,01331689-v,False,2.25
centipede,centipede,01784675-n,01784675-n,True,2.25
black grouse,black grouse,01795545-n,01795545-n,True,2.28
ptarmigan,ptarmigan,01796340-n,01796340-n,True,2.44
ruffed grouse,ruffed grouse,01797886-n,01797886-n,True,2.43
partridge,Hungarian partridge,01797886-n,01807828-n,False,2.43
Bonasa umbellus,Umbellularia,01797886-n,11707668-n,False,2.32
prairie chicken,greater prairie chicken,01798484-n,01798706-n,False,2.23
prairie grouse,grouse,01798484-n,01143028-v,False,2.24
prairie fowl,fowl,01798484-n,01145944-v,False,2.35
peacock,peacock,01806143-n,01806143-n,True,2.24
quail,quail,01806567-n,01806567-n,True,2.27
partridge,Hungarian partridge,01807496-n,01807828-n,False,2.28
African grey,African grey,01817953-n,01817953-n,True,2.3
African gray,African grey,01817953-n,01817953-n,True,2.35
Psittacus erithacus,Psittacus,01817953-n,01817772-n,False,2.22
macaw,macaw,01818515-n,01818515-n,True,2.21
sulphur-crested cockatoo,sulphur-crested cockatoo,01819313-n,01819313-n,True,2.44
Kakatoe galerita,Kakatoe,01819313-n,01818959-n,False,2.5
Cacatua galerita,Cacajao,01819313-n,02493109-n,False,2.34
lorikeet,lorikeet,01820546-n,01820546-n,True,2.63
coucal,coucal,01824575-n,01824575-n,True,2.59
bee eater,bee eater,01828970-n,01828970-n,True,2.39
hornbill,hornbill,01829413-n,01829413-n,True,2.32
hummingbird,hummingbird,01833805-n,01833805-n,True,2.33
jacamar,jacamar,01843065-n,01843065-n,True,2.33
toucan,toucanet,01843383-n,01843719-n,False,2.31
drake,drake,01847000-n,01847000-n,True,2.33
red-breasted merganser,red-breasted merganser,01855032-n,01855032-n,True,2.29
Mergus serrator,Mergus,01855032-n,01854223-n,False,2.56
goose,goose,01855672-n,01457079-v,False,2.51
black swan,black swan,01860187-n,01860187-n,True,2.43
Cygnus atratus,Cygnus,01860187-n,01858989-n,False,2.5
tusker,tusker,01871265-n,01871265-n,True,2.53
echidna,echidna,01872401-n,01872772-n,False,2.5
spiny anteater,anteater,01872401-n,02460009-n,False,2.35
anteater,anteater,01872401-n,02460009-n,False,2.26
platypus,Platypoecilus,01873310-n,01449586-n,False,2.39
duckbill,duckbill,01873310-n,00206900-s,False,2.34
duckbilled platypus,Ornithorhynchidae,01873310-n,01873007-n,False,2.34
duck-billed platypus,Ornithorhynchidae,01873310-n,01873007-n,False,2.25
Ornithorhynchus anatinus,Ornithorhynchus,01873310-n,01873144-n,False,2.25
wallaby,wallaby,01877812-n,01877812-n,True,2.23
brush kangaroo,jerboa kangaroo,01877812-n,01880813-n,False,2.4
koala,koala,01882714-n,01882714-n,True,2.36
koala bear,koala,01882714-n,01882714-n,True,2.33
kangaroo bear,kangaroo,01882714-n,01877134-n,False,2.44
native bear,bear,01882714-n,02131653-n,False,2.41
Phascolarctos cinereus,Phascolarctos,01882714-n,01882607-n,False,2.29
wombat,wombat,01883070-n,01883070-n,True,2.32
jellyfish,jellyfish,01910747-n,01910747-n,True,2.28
sea anemone,anemone fish,01914609-n,02607072-n,False,2.31
anemone,anemone,01914609-n,11725015-n,False,2.36
brain coral,brain coral,01917289-n,01917289-n,True,2.41
flatworm,flatworm,01924916-n,01924916-n,True,2.35
platyhelminth,Platyhelminthes,01924916-n,01924590-n,False,2.33
nematode,nematode,01930112-n,01930112-n,True,2.44
nematode worm,nematode,01930112-n,01930112-n,True,2.32
roundworm,common roundworm,01930112-n,01930852-n,False,2.26
conch,conch,01943899-n,01943899-n,True,2.25
snail,snail,01944390-n,01382917-v,False,2.22
slug,slug,01945685-n,01945685-n,True,2.23
sea slug,sea slug,01950731-n,01950731-n,True,2.28
nudibranch,Nudibranchia,01950731-n,01950457-n,False,2.29
chiton,chiton,01955084-n,03021121-n,False,2.29
coat-of-mail shell,mail-clad,01955084-n,00144510-s,False,2.25
sea cradle,cradle,01955084-n,01536663-v,False,2.34
polyplacophore,Polyplacophora,01955084-n,01954729-n,False,2.36
chambered nautilus,chambered nautilus,01968897-n,01968897-n,True,2.29
pearly nautilus,nautilus,01968897-n,03811295-n,False,2.28
nautilus,nautilus,01968897-n,03811295-n,False,2.31
Dungeness crab,Dungeness crab,01978287-n,01978287-n,True,2.39
Cancer magister,magisterial,01978287-n,02831596-a,False,2.49
rock crab,rock crab,01978455-n,01978455-n,True,2.32
Cancer irroratus,Cancer,01978455-n,01977832-n,False,2.45
fiddler crab,fiddler crab,01980166-n,01980166-n,True,2.5
king crab,king crab,01981276-n,01981276-n,True,2.59
Alaska crab,Alaska king crab,01981276-n,07788435-n,False,2.45
Alaskan king crab,king crab,01981276-n,01981276-n,True,2.26
Alaska king crab,Alaska king crab,01981276-n,07788435-n,False,2.26
Paralithodes camtschatica,Paralithodes,01981276-n,01981137-n,False,2.27
American lobster,American lobster,01983481-n,01983481-n,True,2.29
Northern lobster,Norwegian lobster,01983481-n,07793521-n,False,2.33
Maine lobster,European lobster,01983481-n,01983674-n,False,2.29
Homarus americanus,Housman,01983481-n,11061734-n,False,2.23
spiny lobster,spiny lobster,01984695-n,01984695-n,True,2.26
langouste,languish,01984695-n,00093593-v,False,2.32
rock lobster,lobster,01984695-n,07792725-n,False,2.29
crawfish,craw,01984695-n,01974055-n,False,2.34
crayfish,crayfish,01984695-n,01985128-n,False,2.42
sea crawfish,crayfish,01984695-n,01985128-n,False,2.4
crayfish,crayfish,01985128-n,01985128-n,True,2.32
crawfish,craw,01985128-n,01974055-n,False,2.27
crawdad,craw,01985128-n,01974055-n,False,2.31
crawdaddy,craw,01985128-n,01974055-n,False,2.22
hermit crab,hermit crab,01986214-n,01986214-n,True,2.25
isopod,isopod,01990800-n,01990800-n,True,2.35
white stork,white stork,02002556-n,02002556-n,True,2.25
Ciconia ciconia,Ciconia,02002556-n,02002384-n,False,2.38
black stork,black stork,02002724-n,02002724-n,True,2.38
Ciconia nigra,Ciconia,02002724-n,02002384-n,False,2.51
spoonbill,spoonbill,02006656-n,02006656-n,True,2.53
flamingo,flamingo,02007558-n,02007558-n,True,2.34
little blue heron,little blue heron,02009229-n,02009229-n,True,2.33
Egretta caerulea,Egretta,02009229-n,02009015-n,False,2.31
American egret,American egret,02009912-n,02009912-n,True,2.31
great white heron,great white heron,02009912-n,02009750-n,False,2.34
Egretta albus,Egretta,02009912-n,02009015-n,False,2.42
bittern,bittern,02011460-n,02011460-n,True,2.36
crane,Crane,02012849-n,10914447-n,False,2.41
limpkin,limpkin,02013706-n,02013706-n,True,2.41
Aramus pictus,Aramus,02013706-n,02013362-n,False,2.47
European gallinule,European gallinule,02017213-n,02017213-n,True,2.44
Porphyrio porphyrio,Porphyrio,02017213-n,02017093-n,False,2.39
American coot,American coot,02018207-n,02018207-n,True,2.35
marsh hen,Marsh,02018207-n,11158533-n,False,2.27
mud hen,mud,02018207-n,06720137-n,False,2.32
water hen,hen,02018207-n,01792640-n,False,2.33
Fulica americana,Fulica,02018207-n,02017878-n,False,2.49
bustard,bustard,02018795-n,02018795-n,True,2.47
ruddy turnstone,ruddy turnstone,02025239-n,02025239-n,True,2.47
Arenaria interpres,Arenaria,02025239-n,11805837-n,False,2.43
red-backed sandpiper,red-backed sandpiper,02027492-n,02027492-n,True,2.25
dunlin,dunker,02027492-n,10039946-n,False,2.25
Erolia alpina,Erolia,02027492-n,02027209-n,False,2.36
redshank,redshank,02028035-n,02028035-n,True,2.23
Tringa totanus,Tringa,02028035-n,02027730-n,False,2.26
dowitcher,dowitcher,02033041-n,02033041-n,True,2.24
oystercatcher,oystercatcher,02037110-n,02037110-n,True,2.24
oyster catcher,oystercatcher,02037110-n,02037110-n,True,2.34
pelican,pelican,02051845-n,02051845-n,True,2.24
king penguin,king penguin,02056570-n,02056570-n,True,2.21
Aptenodytes patagonica,Aptenodytes,02056570-n,02056421-n,False,2.25
albatross,albatross,02058221-n,05689645-n,False,2.34
mollymawk,mollycoddle,02058221-n,10327583-n,False,2.24
grey whale,grey whale,02066245-n,02066245-n,True,2.23
gray whale,grey whale,02066245-n,02066245-n,True,2.24
devilfish,scorpionfish,02066245-n,02643112-n,False,2.23
Eschrichtius gibbosus,Eschrichtius,02066245-n,02066086-n,False,2.26
Eschrichtius robustus,Eschrichtius,02066245-n,02066086-n,False,2.23
killer whale,killer whale,02071294-n,02071294-n,True,2.26
killer,killer,02071294-n,10231087-n,False,2.28
orca,oracular,02071294-n,03000868-a,False,2.25
grampus,genus Grampus,02071294-n,02070923-n,False,2.25
sea wolf,wolf,02071294-n,02114100-n,False,2.23
Orcinus orca,Orcinus,02071294-n,02071173-n,False,2.22
dugong,genus Dugong,02074367-n,02074214-n,False,2.24
Dugong dugon,genus Dugong,02074367-n,02074214-n,False,2.23
sea lion,sea lion,02077923-n,02077923-n,True,2.41
Chihuahua,Chihuahua,02085620-n,02085620-n,True,2.23
Japanese spaniel,Japanese spaniel,02085782-n,02085782-n,True,2.27
Maltese dog,Maltese dog,02085936-n,02085936-n,True,2.23
Maltese terrier,Maltese dog,02085936-n,02085936-n,True,2.21
Maltese,Maltese,02085936-n,09747618-n,False,2.21
Pekinese,Pekinese,02086079-n,02086079-n,True,2.22
Pekingese,chinchilla,02086079-n,02367492-n,False,2.28
Peke,pederastic,02086079-n,01202367-s,False,2.25
Shih-Tzu,Shih-Tzu,02086240-n,02086240-n,True,2.43
Blenheim spaniel,Blenheim spaniel,02086646-n,02086646-n,True,2.2
papillon,papillon,02086910-n,02086910-n,True,2.23
toy terrier,toy terrier,02087046-n,02087046-n,True,2.25
Rhodesian ridgeback,Rhodesian ridgeback,02087394-n,02087394-n,True,2.2
Afghan hound,Afghan hound,02088094-n,02088094-n,True,2.2
Afghan,Afghan,02088094-n,09689435-n,False,2.24
basset,basset,02088238-n,00425845-v,False,2.25
basset hound,basset,02088238-n,02088238-n,True,2.21
beagle,beagle,02088364-n,02088364-n,True,2.21
bloodhound,bloodhound,02088466-n,02088466-n,True,2.29
sleuthhound,sleuth,02088466-n,10611613-n,False,2.24
bluetick,bluetick,02088632-n,02088632-n,True,2.21
black-and-tan coonhound,black-and-tan coonhound,02089078-n,02089078-n,True,2.39
Walker hound,Walker hound,02089867-n,02089867-n,True,2.39
Walker foxhound,Walker hound,02089867-n,02089867-n,True,2.18
English foxhound,English foxhound,02089973-n,02089973-n,True,2.21
redbone,redbone,02090379-n,02090379-n,True,2.18
borzoi,borzoi,02090622-n,02090622-n,True,2.19
Russian wolfhound,wolfhound,02090622-n,02090475-n,False,2.21
Irish wolfhound,Irish wolfhound,02090721-n,02090721-n,True,2.2
Italian greyhound,Italian greyhound,02091032-n,02091032-n,True,2.2
whippet,whippet,02091134-n,02091134-n,True,2.2
Ibizan hound,Ibizan hound,02091244-n,02091244-n,True,2.21
Ibizan Podenco,Ibadan,02091244-n,08974330-n,False,2.21
Norwegian elkhound,Norwegian elkhound,02091467-n,02091467-n,True,2.4
elkhound,Norwegian elkhound,02091467-n,02091467-n,True,2.37
otterhound,otter,02091635-n,14765785-n,False,2.35
otter hound,otter,02091635-n,14765785-n,False,2.24
Saluki,Saluki,02091831-n,02091831-n,True,2.23
gazelle hound,gazelle,02091831-n,02423022-n,False,2.21
Scottish deerhound,Scottish deerhound,02092002-n,02092002-n,True,2.41
deerhound,deerstalking,02092002-n,00711727-n,False,2.41
Weimaraner,Weimaraner,02092339-n,02092339-n,True,2.43
Staffordshire bullterrier,Staffordshire bullterrier,02093256-n,02093256-n,True,2.34
Staffordshire bull terrier,Staffordshire bullterrier,02093256-n,02093256-n,True,2.22
American Staffordshire terrier,American Staffordshire terrier,02093428-n,02093428-n,True,2.2
Staffordshire terrier,American Staffordshire terrier,02093428-n,02093428-n,True,2.19
American pit bull terrier,Boston bull,02093428-n,02096585-n,False,2.41
pit bull terrier,terrier,02093428-n,02092468-n,False,2.2
Bedlington terrier,Bedlington terrier,02093647-n,02093647-n,True,2.18
Border terrier,Border terrier,02093754-n,02093754-n,True,2.19
Kerry blue terrier,Kerry blue terrier,02093859-n,02093859-n,True,2.16
Irish terrier,Irish terrier,02093991-n,02093991-n,True,2.2
Norfolk terrier,Norfolk terrier,02094114-n,02094114-n,True,2.2
Norwich terrier,Norwich terrier,02094258-n,02094258-n,True,2.21
Yorkshire terrier,Yorkshire terrier,02094433-n,02094433-n,True,2.21
wire-haired fox terrier,wire-haired fox terrier,02095314-n,02095314-n,True,2.22
Lakeland terrier,Lakeland terrier,02095570-n,02095570-n,True,2.22
Sealyham terrier,Sealyham terrier,02095889-n,02095889-n,True,2.21
Sealyham,Sealyham,02095889-n,08895623-n,False,2.21
Airedale,Airedale,02096051-n,02096051-n,True,2.28
Airedale terrier,Airedale,02096051-n,02096051-n,True,2.3
cairn,cairn,02096177-n,02096177-n,True,2.26
cairn terrier,cairn,02096177-n,02096177-n,True,2.38
Australian terrier,Australian terrier,02096294-n,02096294-n,True,2.31
Dandie Dinmont,Dandie Dinmont,02096437-n,02096437-n,True,2.44
Dandie Dinmont terrier,Dandie Dinmont,02096437-n,02096437-n,True,2.39
Boston bull,Boston bull,02096585-n,02096585-n,True,2.33
Boston terrier,Boston bull,02096585-n,02096585-n,True,2.36
miniature schnauzer,miniature schnauzer,02097047-n,02097047-n,True,2.21
giant schnauzer,giant schnauzer,02097130-n,02097130-n,True,2.29
standard schnauzer,standard schnauzer,02097209-n,02097209-n,True,2.29
Scotch terrier,Scotch terrier,02097298-n,02097298-n,True,2.24
Scottish terrier,Scotch terrier,02097298-n,02097298-n,True,2.26
Scottie,Scott,02097298-n,11289709-n,False,2.24
Tibetan terrier,Tibetan terrier,02097474-n,02097474-n,True,2.26
chrysanthemum dog,chrysanthemum,02097474-n,11951271-n,False,2.31
silky terrier,silky terrier,02097658-n,02097658-n,True,2.3
Sydney silky,silky terrier,02097658-n,02097658-n,True,2.31
soft-coated wheaten terrier,soft-coated wheaten terrier,02098105-n,02098105-n,True,2.23
West Highland white terrier,West Highland white terrier,02098286-n,02098286-n,True,2.22
Lhasa,Lhasa,02098413-n,02098413-n,True,2.24
Lhasa apso,Lhasa,02098413-n,02098413-n,True,2.41
flat-coated retriever,flat-coated retriever,02099267-n,02099267-n,True,2.26
curly-coated retriever,curly-coated retriever,02099429-n,02099429-n,True,2.23
golden retriever,golden retriever,02099601-n,02099601-n,True,2.23
Labrador retriever,Labrador retriever,02099712-n,02099712-n,True,2.21
Chesapeake Bay retriever,Chesapeake Bay retriever,02099849-n,02099849-n,True,2.21
German short-haired pointer,German short-haired pointer,02100236-n,02100236-n,True,2.21
vizsla,vizsla,02100583-n,02100583-n,True,2.19
Hungarian pointer,pointer,02100583-n,02099997-n,False,2.2
English setter,English setter,02100735-n,02100735-n,True,2.2
Irish setter,Irish setter,02100877-n,02100877-n,True,2.19
red setter,redden,02100877-n,00534837-v,False,2.2
Gordon setter,Gordon setter,02101006-n,02101006-n,True,2.23
Brittany spaniel,Brittany spaniel,02101388-n,02101388-n,True,2.2
clumber,clumber,02101556-n,02101556-n,True,2.21
clumber spaniel,clumber,02101556-n,02101556-n,True,2.21
English springer,English springer,02102040-n,02102040-n,True,2.21
English springer spaniel,English springer,02102040-n,02102040-n,True,2.22
Welsh springer spaniel,Welsh springer spaniel,02102177-n,02102177-n,True,2.28
cocker spaniel,cocker spaniel,02102318-n,02102318-n,True,2.23
English cocker spaniel,cocker spaniel,02102318-n,02102318-n,True,2.22
cocker,cocklebur,02102318-n,12033139-n,False,2.26
Sussex spaniel,Sussex spaniel,02102480-n,02102480-n,True,2.67
Irish water spaniel,Irish water spaniel,02102973-n,02102973-n,True,2.28
kuvasz,kuvasz,02104029-n,02104029-n,True,2.33
schipperke,schipperke,02104365-n,02104365-n,True,2.22
groenendael,groenendael,02105056-n,02105056-n,True,2.27
malinois,malinois,02105162-n,02105162-n,True,2.3
briard,briard,02105251-n,02105251-n,True,2.27
kelpie,kelpie,02105412-n,02105412-n,True,2.28
komondor,komondor,02105505-n,02105505-n,True,2.23
Old English sheepdog,Old English sheepdog,02105641-n,02105641-n,True,2.24
bobtail,bobtail,02105641-n,00319851-s,False,2.21
Shetland sheepdog,Shetland sheepdog,02105855-n,02105855-n,True,2.23
Shetland sheep dog,Shetland sheepdog,02105855-n,02105855-n,True,2.23
Shetland,Shetland,02105855-n,08954057-n,False,2.24
collie,collie,02106030-n,02106030-n,True,2.22
Border collie,Border collie,02106166-n,02106166-n,True,2.21
Bouvier des Flandres,Bouvier des Flandres,02106382-n,02106382-n,True,2.29
Bouviers des Flandres,Bouvier des Flandres,02106382-n,02106382-n,True,2.38
Rottweiler,Rottweiler,02106550-n,02106550-n,True,2.4
German shepherd,German shepherd,02106662-n,02106662-n,True,2.41
German shepherd dog,German shepherd,02106662-n,02106662-n,True,2.44
German police dog,police dog,02106662-n,02106854-n,False,2.35
alsatian,Alsatian,02106662-n,09785786-n,False,2.59
Doberman,Doberman,02107142-n,02107142-n,True,2.35
Doberman pinscher,miniature pinscher,02107142-n,02107312-n,False,2.3
miniature pinscher,miniature pinscher,02107312-n,02107312-n,True,2.24
Greater Swiss Mountain dog,Greater Swiss Mountain dog,02107574-n,02107574-n,True,2.34
Bernese mountain dog,Bernese mountain dog,02107683-n,02107683-n,True,2.43
Appenzeller,Appenzeller,02107908-n,02107908-n,True,2.45
EntleBucher,EntleBucher,02108000-n,02108000-n,True,2.2
boxer,boxer,02108089-n,09870208-n,False,2.25
bull mastiff,bull mastiff,02108422-n,02108422-n,True,2.41
Tibetan mastiff,Tibetan mastiff,02108551-n,02108551-n,True,2.33
French bulldog,French bulldog,02108915-n,02108915-n,True,2.31
Great Dane,Great Dane,02109047-n,02109047-n,True,2.36
Saint Bernard,Saint Bernard,02109525-n,02109525-n,True,2.46
